,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersInpadj,,,,,,,,,,,,,,,,,,
235,GO:0120036,plasma membrane bounded cell projection organization,36,4,4.02,1,1,,,,,,,,,,,,,,,,,,
236,GO:0035082,axoneme assembly,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
237,GO:0043266,regulation of potassium ion transport,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
238,GO:0043268,positive regulation of potassium ion transport,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
239,GO:0010256,endomembrane system organization,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
240,GO:0043269,regulation of ion transport,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
241,GO:0007049,cell cycle,60,15,6.71,1,1,,,,,,,,,,,,,,,,,,
242,GO:0010257,NADH dehydrogenase complex assembly,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
243,GO:0032309,icosanoid secretion,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
244,GO:0071103,DNA conformation change,20,1,2.24,1,1,,,,,,,,,,,,,,,,,,
245,GO:0006839,mitochondrial transport,23,1,2.57,1,1,,,,,,,,,,,,,,,,,,
246,GO:2000765,regulation of cytoplasmic translation,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
247,GO:0071900,regulation of protein serine/threonine kinase activity,5,2,0.56,1,1,,,,,,,,,,,,,,,,,,
248,GO:0009161,ribonucleoside monophosphate metabolic process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
249,GO:0009162,deoxyribonucleoside monophosphate metabolic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
250,GO:0044260,cellular macromolecule metabolic process,1306,199,145.97,1,1,,,,,,,,,,,,,,,,,,
251,GO:0009163,nucleoside biosynthetic process,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
252,GO:0044262,cellular carbohydrate metabolic process,20,5,2.24,1,1,,,,,,,,,,,,,,,,,,
253,GO:0009165,nucleotide biosynthetic process,49,6,5.48,1,1,,,,,,,,,,,,,,,,,,
254,GO:0044264,cellular polysaccharide metabolic process,6,3,0.67,1,1,,,,,,,,,,,,,,,,,,
255,GO:0009167,purine ribonucleoside monophosphate metabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
256,GO:0044265,cellular macromolecule catabolic process,91,8,10.17,1,1,,,,,,,,,,,,,,,,,,
257,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
258,GO:0044267,cellular protein metabolic process,757,98,84.61,1,1,,,,,,,,,,,,,,,,,,
259,GO:0042278,purine nucleoside metabolic process,8,1,0.89,1,1,,,,,,,,,,,,,,,,,,
260,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
261,GO:2000756,regulation of peptidyl-lysine acetylation,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
262,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
263,GO:0031497,chromatin assembly,11,1,1.23,1,1,,,,,,,,,,,,,,,,,,
264,GO:0048646,anatomical structure formation involved in morphogenesis,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
265,GO:0009150,purine ribonucleotide metabolic process,36,7,4.02,1,1,,,,,,,,,,,,,,,,,,
266,GO:0009152,purine ribonucleotide biosynthetic process,27,3,3.02,1,1,,,,,,,,,,,,,,,,,,
267,GO:0009966,regulation of signal transduction,40,3,4.47,1,1,,,,,,,,,,,,,,,,,,
268,GO:0042221,response to chemical,34,2,3.8,1,1,,,,,,,,,,,,,,,,,,
269,GO:0008033,tRNA processing,45,7,5.03,1,1,,,,,,,,,,,,,,,,,,
270,GO:0009156,ribonucleoside monophosphate biosynthetic process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
271,GO:0009157,deoxyribonucleoside monophosphate biosynthetic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
272,GO:0006401,RNA catabolic process,26,4,2.91,1,1,,,,,,,,,,,,,,,,,,
273,GO:0044257,cellular protein catabolic process,62,4,6.93,1,1,,,,,,,,,,,,,,,,,,
274,GO:0061727,methylglyoxal catabolic process to lactate,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
275,GO:0043270,positive regulation of ion transport,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
276,GO:0006403,RNA localization,9,1,1.01,1,1,,,,,,,,,,,,,,,,,,
277,GO:0006405,RNA export from nucleus,9,1,1.01,1,1,,,,,,,,,,,,,,,,,,
278,GO:0035825,homologous recombination,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
279,GO:0070189,kynurenine metabolic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
280,GO:0044281,small molecule metabolic process,234,30,26.15,1,1,,,,,,,,,,,,,,,,,,
281,GO:0034308,primary alcohol metabolic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
282,GO:0044282,small molecule catabolic process,23,3,2.57,1,1,,,,,,,,,,,,,,,,,,
283,GO:0097354,prenylation,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
284,GO:0009185,ribonucleoside diphosphate metabolic process,7,4,0.78,1,1,,,,,,,,,,,,,,,,,,
285,GO:0070585,protein localization to mitochondrion,9,1,1.01,1,1,,,,,,,,,,,,,,,,,,
286,GO:0015711,organic anion transport,24,1,2.68,1,1,,,,,,,,,,,,,,,,,,
287,GO:0044283,small molecule biosynthetic process,65,9,7.26,1,1,,,,,,,,,,,,,,,,,,
288,GO:0006807,nitrogen compound metabolic process,1942,279,217.05,1,1,,,,,,,,,,,,,,,,,,
289,GO:1901990,regulation of mitotic cell cycle phase transition,6,3,0.67,1,1,,,,,,,,,,,,,,,,,,
290,GO:0009187,cyclic nucleotide metabolic process,16,1,1.79,1,1,,,,,,,,,,,,,,,,,,
291,GO:1901991,negative regulation of mitotic cell cycle phase transition,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
292,GO:0051596,methylglyoxal catabolic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
293,GO:0010628,positive regulation of gene expression,11,1,1.23,1,1,,,,,,,,,,,,,,,,,,
294,GO:0042219,cellular modified amino acid catabolic process,5,2,0.56,1,1,,,,,,,,,,,,,,,,,,
295,GO:0010629,negative regulation of gene expression,50,12,5.59,1,1,,,,,,,,,,,,,,,,,,
296,GO:0015718,monocarboxylic acid transport,10,1,1.12,1,1,,,,,,,,,,,,,,,,,,
297,GO:0007005,mitochondrion organization,34,2,3.8,1,1,,,,,,,,,,,,,,,,,,
298,GO:0050877,nervous system process,362,2,40.46,1,1,,,,,,,,,,,,,,,,,,
299,GO:0044270,cellular nitrogen compound catabolic process,38,5,4.25,1,1,,,,,,,,,,,,,,,,,,
300,GO:0009987,cellular process,3061,373,342.12,1,1,,,,,,,,,,,,,,,,,,
301,GO:0044271,cellular nitrogen compound biosynthetic process,653,93,72.98,1,1,,,,,,,,,,,,,,,,,,
302,GO:0044272,sulfur compound biosynthetic process,10,1,1.12,1,1,,,,,,,,,,,,,,,,,,
303,GO:0044273,sulfur compound catabolic process,5,2,0.56,1,1,,,,,,,,,,,,,,,,,,
304,GO:0009176,pyrimidine deoxyribonucleoside monophosphate metabolic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
305,GO:0016310,phosphorylation,303,29,33.87,1,1,,,,,,,,,,,,,,,,,,
306,GO:0009177,pyrimidine deoxyribonucleoside monophosphate biosynthetic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
307,GO:0016311,dephosphorylation,55,4,6.15,1,1,,,,,,,,,,,,,,,,,,
308,GO:0043628,ncRNA 3'-end processing,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
309,GO:0000096,sulfur amino acid metabolic process,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
310,GO:0070972,protein localization to endoplasmic reticulum,8,2,0.89,1,1,,,,,,,,,,,,,,,,,,
311,GO:0009179,purine ribonucleoside diphosphate metabolic process,7,4,0.78,1,1,,,,,,,,,,,,,,,,,,
312,GO:0000491,small nucleolar ribonucleoprotein complex assembly,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
313,GO:0000097,sulfur amino acid biosynthetic process,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
314,GO:0046390,ribose phosphate biosynthetic process,27,3,3.02,1,1,,,,,,,,,,,,,,,,,,
315,GO:0046394,carboxylic acid biosynthetic process,42,7,4.69,1,1,,,,,,,,,,,,,,,,,,
316,GO:0055114,oxidation-reduction process,50,4,5.59,1,1,,,,,,,,,,,,,,,,,,
317,GO:0046395,carboxylic acid catabolic process,13,1,1.45,1,1,,,,,,,,,,,,,,,,,,
318,GO:0005996,monosaccharide metabolic process,11,1,1.23,1,1,,,,,,,,,,,,,,,,,,
319,GO:0098754,detoxification,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
320,GO:0009123,nucleoside monophosphate metabolic process,5,2,0.56,1,1,,,,,,,,,,,,,,,,,,
321,GO:0009124,nucleoside monophosphate biosynthetic process,5,2,0.56,1,1,,,,,,,,,,,,,,,,,,
322,GO:0080090,regulation of primary metabolic process,357,42,39.9,1,1,,,,,,,,,,,,,,,,,,
323,GO:0031056,regulation of histone modification,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
324,GO:0009126,purine nucleoside monophosphate metabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
325,GO:0009127,purine nucleoside monophosphate biosynthetic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
326,GO:0010646,regulation of cell communication,53,5,5.92,1,1,,,,,,,,,,,,,,,,,,
327,GO:0009129,pyrimidine nucleoside monophosphate metabolic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
328,GO:0010648,negative regulation of cell communication,8,2,0.89,1,1,,,,,,,,,,,,,,,,,,
329,GO:0070925,organelle assembly,46,5,5.14,1,1,,,,,,,,,,,,,,,,,,
330,GO:0035437,maintenance of protein localization in endoplasmic reticulum,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
331,GO:0032465,regulation of cytokinesis,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
332,GO:0009112,nucleobase metabolic process,11,3,1.23,1,1,,,,,,,,,,,,,,,,,,
333,GO:1901564,organonitrogen compound metabolic process,1210,155,135.24,1,1,,,,,,,,,,,,,,,,,,
334,GO:0051168,nuclear export,11,1,1.23,1,1,,,,,,,,,,,,,,,,,,
335,GO:1901565,organonitrogen compound catabolic process,98,8,10.95,1,1,,,,,,,,,,,,,,,,,,
336,GO:0009116,nucleoside metabolic process,12,1,1.34,1,1,,,,,,,,,,,,,,,,,,
337,GO:1901566,organonitrogen compound biosynthetic process,326,52,36.44,1,1,,,,,,,,,,,,,,,,,,
338,GO:2001056,positive regulation of cysteine-type endopeptidase activity,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
339,GO:0009117,nucleotide metabolic process,59,10,6.59,1,1,,,,,,,,,,,,,,,,,,
340,GO:0071265,L-methionine biosynthetic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
341,GO:0009119,ribonucleoside metabolic process,8,1,0.89,1,1,,,,,,,,,,,,,,,,,,
342,GO:0071267,L-methionine salvage,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
343,GO:0006996,organelle organization,234,29,26.15,1,1,,,,,,,,,,,,,,,,,,
344,GO:0010639,negative regulation of organelle organization,10,1,1.12,1,1,,,,,,,,,,,,,,,,,,
345,GO:0098771,inorganic ion homeostasis,14,2,1.56,1,1,,,,,,,,,,,,,,,,,,
346,GO:0043631,RNA polyadenylation,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
347,GO:0009141,nucleoside triphosphate metabolic process,14,2,1.56,1,1,,,,,,,,,,,,,,,,,,
348,GO:0043632,modification-dependent macromolecule catabolic process,49,4,5.48,1,1,,,,,,,,,,,,,,,,,,
349,GO:0009142,nucleoside triphosphate biosynthetic process,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
350,GO:0009144,purine nucleoside triphosphate metabolic process,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
351,GO:0009145,purine nucleoside triphosphate biosynthetic process,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
352,GO:0009147,pyrimidine nucleoside triphosphate metabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
353,GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
354,GO:0044248,cellular catabolic process,142,14,15.87,1,1,,,,,,,,,,,,,,,,,,
355,GO:0044249,cellular biosynthetic process,874,132,97.68,1,1,,,,,,,,,,,,,,,,,,
356,GO:0009130,pyrimidine nucleoside monophosphate biosynthetic process,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
357,GO:0031023,microtubule organizing center organization,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
358,GO:0009132,nucleoside diphosphate metabolic process,11,5,1.23,1,1,,,,,,,,,,,,,,,,,,
359,GO:0051189,prosthetic group metabolic process,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
360,GO:0009135,purine nucleoside diphosphate metabolic process,7,4,0.78,1,1,,,,,,,,,,,,,,,,,,
361,GO:0000054,ribosomal subunit export from nucleus,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
362,GO:0032886,regulation of microtubule-based process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
363,GO:1901983,regulation of protein acetylation,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
364,GO:0044238,primary metabolic process,2203,311,246.22,1,1,,,,,,,,,,,,,,,,,,
365,GO:0051983,regulation of chromosome segregation,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
366,GO:0006163,purine nucleotide metabolic process,39,7,4.36,1,1,,,,,,,,,,,,,,,,,,
367,GO:0006164,purine nucleotide biosynthetic process,29,3,3.24,1,1,,,,,,,,,,,,,,,,,,
368,GO:0051985,negative regulation of chromosome segregation,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
369,GO:0030301,cholesterol transport,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
370,GO:1901987,regulation of cell cycle phase transition,7,3,0.78,1,1,,,,,,,,,,,,,,,,,,
371,GO:0051171,regulation of nitrogen compound metabolic process,357,42,39.9,1,1,,,,,,,,,,,,,,,,,,
372,GO:1901988,negative regulation of cell cycle phase transition,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
373,GO:0051172,negative regulation of nitrogen compound metabolic process,24,5,2.68,1,1,,,,,,,,,,,,,,,,,,
374,GO:0051173,positive regulation of nitrogen compound metabolic process,18,2,2.01,1,1,,,,,,,,,,,,,,,,,,
375,GO:0051174,regulation of phosphorus metabolic process,19,3,2.12,1,1,,,,,,,,,,,,,,,,,,
376,GO:0045786,negative regulation of cell cycle,11,2,1.23,1,1,,,,,,,,,,,,,,,,,,
377,GO:1901571,fatty acid derivative transport,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
378,GO:0051179,localization,633,47,70.75,1,1,,,,,,,,,,,,,,,,,,
379,GO:1901575,organic substance catabolic process,150,18,16.76,1,1,,,,,,,,,,,,,,,,,,
380,GO:0072655,establishment of protein localization to mitochondrion,9,1,1.01,1,1,,,,,,,,,,,,,,,,,,
381,GO:0010604,positive regulation of macromolecule metabolic process,19,2,2.12,1,1,,,,,,,,,,,,,,,,,,
382,GO:1901576,organic substance biosynthetic process,886,134,99.02,1,1,,,,,,,,,,,,,,,,,,
383,GO:0006568,tryptophan metabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
384,GO:0010605,negative regulation of macromolecule metabolic process,53,12,5.92,1,1,,,,,,,,,,,,,,,,,,
385,GO:0006569,tryptophan catabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
386,GO:0072657,protein localization to membrane,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
387,GO:0000086,G2/M transition of mitotic cell cycle,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
388,GO:1903963,arachidonate transport,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
389,GO:0072659,protein localization to plasma membrane,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
390,GO:0010608,posttranscriptional regulation of gene expression,23,6,2.57,1,1,,,,,,,,,,,,,,,,,,
391,GO:0019856,pyrimidine nucleobase biosynthetic process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
392,GO:0032879,regulation of localization,19,2,2.12,1,1,,,,,,,,,,,,,,,,,,
393,GO:0050000,chromosome localization,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
394,GO:0046385,deoxyribose phosphate biosynthetic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
395,GO:0003008,system process,363,2,40.57,1,1,,,,,,,,,,,,,,,,,,
396,GO:0007163,establishment or maintenance of cell polarity,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
397,GO:0006555,methionine metabolic process,5,1,0.56,1,1,,,,,,,,,,,,,,,,,,
398,GO:0043603,cellular amide metabolic process,219,38,24.48,1,1,,,,,,,,,,,,,,,,,,
399,GO:0051128,regulation of cellular component organization,27,6,3.02,1,1,,,,,,,,,,,,,,,,,,
400,GO:0006950,response to stress,115,31,12.85,1,1,,,,,,,,,,,,,,,,,,
401,GO:0043604,amide biosynthetic process,190,34,21.24,1,1,,,,,,,,,,,,,,,,,,
402,GO:0051129,negative regulation of cellular component organization,10,1,1.12,1,1,,,,,,,,,,,,,,,,,,
403,GO:0031047,gene silencing by RNA,8,2,0.89,1,1,,,,,,,,,,,,,,,,,,
404,GO:0046785,microtubule polymerization,7,2,0.78,1,1,,,,,,,,,,,,,,,,,,
405,GO:0007167,enzyme linked receptor protein signaling pathway,7,1,0.78,1,1,,,,,,,,,,,,,,,,,,
406,GO:0000075,cell cycle checkpoint,9,2,1.01,1,1,,,,,,,,,,,,,,,,,,
407,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
408,GO:0050801,ion homeostasis,14,2,1.56,1,1,,,,,,,,,,,,,,,,,,
409,GO:0032411,positive regulation of transporter activity,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
410,GO:0050804,modulation of chemical synaptic transmission,13,2,1.45,1,1,,,,,,,,,,,,,,,,,,
411,GO:0032412,regulation of ion transmembrane transporter activity,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
412,GO:0098732,macromolecule deacylation,6,1,0.67,1,1,,,,,,,,,,,,,,,,,,
413,GO:0032414,positive regulation of ion transmembrane transporter activity,12,2,1.34,1,1,,,,,,,,,,,,,,,,,,
414,GO:0009100,glycoprotein metabolic process,42,9,4.69,1,1,,,,,,,,,,,,,,,,,,
415,GO:0006188,IMP biosynthetic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
416,GO:0009101,glycoprotein biosynthetic process,41,9,4.58,1,1,,,,,,,,,,,,,,,,,,
417,GO:0005976,polysaccharide metabolic process,6,3,0.67,1,1,,,,,,,,,,,,,,,,,,
418,GO:0098734,macromolecule depalmitoylation,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
419,GO:0005977,glycogen metabolic process,6,3,0.67,1,1,,,,,,,,,,,,,,,,,,
420,GO:0042398,cellular modified amino acid biosynthetic process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
421,GO:0007154,cell communication,346,24,38.67,1,1,,,,,,,,,,,,,,,,,,
422,GO:0006586,indolalkylamine metabolic process,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
423,GO:0007155,cell adhesion,32,1,3.58,1,1,,,,,,,,,,,,,,,,,,
424,GO:0010390,histone monoubiquitination,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
425,GO:0070507,regulation of microtubule cytoskeleton organization,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
426,GO:0035195,gene silencing by miRNA,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
427,GO:0034471,ncRNA 5'-end processing,8,1,0.89,1,1,,,,,,,,,,,,,,,,,,
428,GO:0032048,cardiolipin metabolic process,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
429,GO:1990778,protein localization to cell periphery,1,1,0.11,1,1,,,,,,,,,,,,,,,,,,
430,GO:0032446,protein modification by small protein conjugation,34,4,3.8,1,1,,,,,,,,,,,,,,,,,,
431,GO:0006575,cellular modified amino acid metabolic process,21,5,2.35,1,1,,,,,,,,,,,,,,,,,,
432,GO:0006576,cellular biogenic amine metabolic process,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
433,GO:1902115,regulation of organelle assembly,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
434,GO:0008150,biological_process,4071,455,455,1,1,,,,,,,,,,,,,,,,,,
435,GO:0008152,metabolic process,2424,350,270.92,1,1,,,,,,,,,,,,,,,,,,
436,GO:0006520,cellular amino acid metabolic process,67,7,7.49,1,1,,,,,,,,,,,,,,,,,,
437,GO:1901135,carbohydrate derivative metabolic process,128,21,14.31,1,1,,,,,,,,,,,,,,,,,,
438,GO:0033043,regulation of organelle organization,24,5,2.68,1,1,,,,,,,,,,,,,,,,,,
439,GO:0033044,regulation of chromosome organization,7,2,0.78,1,1,,,,,,,,,,,,,,,,,,
440,GO:0000041,transition metal ion transport,11,4,1.23,1,1,,,,,,,,,,,,,,,,,,
441,GO:0033045,regulation of sister chromatid segregation,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
442,GO:0033046,negative regulation of sister chromatid segregation,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
443,GO:0033047,regulation of mitotic sister chromatid segregation,4,1,0.45,1,1,,,,,,,,,,,,,,,,,,
444,GO:0033048,negative regulation of mitotic sister chromatid segregation,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
445,GO:0006528,asparagine metabolic process,2,2,0.22,1,1,,,,,,,,,,,,,,,,,,
446,GO:0000819,sister chromatid segregation,13,4,1.45,1,1,,,,,,,,,,,,,,,,,,
447,GO:0006112,energy reserve metabolic process,6,3,0.67,1,1,,,,,,,,,,,,,,,,,,
448,GO:0006928,movement of cell or subcellular component,55,2,6.15,1,1,,,,,,,,,,,,,,,,,,
449,GO:0052547,regulation of peptidase activity,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
450,GO:0006513,protein monoubiquitination,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
451,GO:0052548,regulation of endopeptidase activity,2,1,0.22,1,1,,,,,,,,,,,,,,,,,,
452,GO:0033036,macromolecule localization,148,20,16.54,1,1,,,,,,,,,,,,,,,,,,
453,GO:0006518,peptide metabolic process,206,35,23.02,1,1,,,,,,,,,,,,,,,,,,
454,GO:0007127,meiosis I,3,1,0.34,1,1,,,,,,,,,,,,,,,,,,
455,GO:0006914,autophagy,19,1,2.12,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
