Colony,Queen,Treatment,Location,Day,Status,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,3,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,3.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,11,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,3.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,12.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,10.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,3.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,9,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
