Protein_ID,GO.ID,Term
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g06446,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g06844,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g08408,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g08578,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g08872,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g08998,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g12159,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g13531,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g15497,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g15565,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_Lneg_g16884,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_T1A_proteasome_beta-subunit_Lneg_g04469,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_T1A_proteasome_beta-subunit_Lneg_g11302,GO:0051603,proteolysis involved in cellular protein catabolic process
Peptidase_T1A_proteasome_beta-subunit_Lneg_g14339,GO:0051603,proteolysis involved in cellular protein catabolic process
