,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
54,GO:0006003,"fructose 2,6-bisphosphate metabolic process",1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
55,GO:0002218,activation of innate immune response,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
56,GO:0006469,negative regulation of protein kinase activity,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
57,GO:0035025,positive regulation of Rho protein signal transduction,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
58,GO:0042264,peptidyl-aspartic acid hydroxylation,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
59,GO:0031532,actin cytoskeleton reorganization,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
60,GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
61,GO:0006857,oligopeptide transport,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
62,GO:0005975,carbohydrate metabolic process,112,19,11.36,0.10846,0.722483548,,,,,,,,,,,,,,,,,,
63,GO:0006457,protein folding,36,7,3.65,0.11025,0.72275,,,,,,,,,,,,,,,,,,
64,GO:0006665,sphingolipid metabolic process,9,3,0.91,0.11667,0.743463538,,,,,,,,,,,,,,,,,,
65,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",6,2,0.61,0.11701,0.743463538,,,,,,,,,,,,,,,,,,
66,GO:0006470,protein dephosphorylation,41,7,4.16,0.15114,0.811797857,,,,,,,,,,,,,,,,,,
67,GO:0035194,post-transcriptional gene silencing by RNA,7,2,0.71,0.15318,0.811797857,,,,,,,,,,,,,,,,,,
68,GO:0008643,carbohydrate transport,14,3,1.42,0.16306,0.811797857,,,,,,,,,,,,,,,,,,
69,GO:0009056,catabolic process,171,34,17.35,0.18531,0.811797857,,,,,,,,,,,,,,,,,,
70,GO:0016573,histone acetylation,15,3,1.52,0.1894,0.811797857,,,,,,,,,,,,,,,,,,
71,GO:0043248,proteasome assembly,8,2,0.81,0.19111,0.811797857,,,,,,,,,,,,,,,,,,
72,GO:0006164,purine nucleotide biosynthetic process,29,5,2.94,0.19207,0.811797857,,,,,,,,,,,,,,,,,,
73,GO:0006952,defense response,3,2,0.3,0.19223,0.811797857,,,,,,,,,,,,,,,,,,
